finish_time,type,wave_id,is_delayed,date,workstation,total_in_wave,deadline_ts
2025-07-01 00:12:24,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_3,3457,0
2025-07-01 00:17:05,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_9,3457,0
2025-07-01 00:12:45,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_5,3457,0
2025-07-01 00:17:05,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_14,3457,0
2025-07-01 00:12:53,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_7,3457,0
2025-07-01 00:17:15,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_11,3457,0
2025-07-01 00:13:14,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_1,3457,0
2025-07-01 00:12:53,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_6,3457,0
2025-07-01 00:13:52,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_8,3457,0
2025-07-01 00:13:45,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_2,3457,0
2025-07-01 00:13:40,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_3,3457,0
2025-07-01 00:17:03,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_13,3457,0
2025-07-01 00:17:30,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_10,3457,0
2025-07-01 00:17:45,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_12,3457,0
2025-07-01 00:18:32,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_15,3457,0
2025-07-01 00:13:14,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_4,3457,0
2025-07-01 00:17:47,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_9,3457,0
2025-07-01 00:17:47,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_16,3457,0
2025-07-01 00:13:25,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_5,3457,0
2025-07-01 00:18:18,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_11,3457,0
2025-07-01 00:17:44,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_14,3457,0
2025-07-01 00:14:11,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_7,3457,0
2025-07-01 00:17:55,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_10,3457,0
2025-07-01 00:13:55,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_1,3457,0
2025-07-01 00:18:10,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_13,3457,0
2025-07-01 00:18:32,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_9,3457,0
2025-07-01 00:18:29,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_12,3457,0
2025-07-01 00:13:49,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_6,3457,0
2025-07-01 00:18:30,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_14,3457,0
2025-07-01 00:19:57,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_10,3457,0
2025-07-01 00:18:46,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_16,3457,0
2025-07-01 00:14:25,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_4,3457,0
2025-07-01 00:14:17,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_5,3457,0
2025-07-01 00:14:55,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_3,3457,0
